cycle	ts	slice	gate	gates_passed	kept	proof
0	2026-07-24	scaffold workspace + CLI	G1	1	yes	cargo check ok; cargo test ok; scaena devices runs; version 0.1.0
1	2026-07-24	iOS simctl backend + merged devices	G1	1	yes	4 unit tests pass (adb+simctl parsers); scaena devices merges both; simctl absent on host -> graceful
2	2026-07-24	device capture (adb screencap)	G2	1	yes	scaena devices lists emulator-5554 ready; scaena capture -> real PNG 1080x2400 1.37MB (file: PNG RGBA); 5 unit tests. G2 capture proven, host orange-dot scrub still pending
3	2026-07-24	seed + flow runner	G3	2	yes	flow run drove Spocken, captured real Auth screen, seeded 3 notes via run-as WITHOUT sign-in (file proof); 7 unit tests; found+fixed adb-redirect and cold-start-timing bugs. Home/Empty need session-replay
4	2026-07-24	snapshot/restore (session-replay)	G3	2	yes	snapshot com.spocken.app -> 6144B tar; wipe -> restore -> 3 notes back (roundtrip proven). Session-replay mechanism done; a SIGNED-IN snapshot still needs one human sign-in
5	2026-07-24	MCP server (rmcp intent, hand-rolled)	G4	3	yes	scaena-mcp stdio JSON-RPC: initialize + tools/list(6) + capture returns real 1080x2400 PNG inline (b64 133KB); registered in Claude Code -> Connected. Pure Rust, no Node
6	2026-07-24	framing + store export (G5)	G5	4	yes	capture->frame(1080x2400->1200x2520 padded+rounded)->export play-compliant; 10 unit tests; caught+fixed --out value leaking into positional inputs
7	2026-07-24	browser GUI (scaena serve) + offline (G6)	G6	5	yes	scaena serve: /api/devices JSON, / HTML UI, /api/capture -> real 1080x2400 PNG over localhost; zero HTTP/network-client deps (offline by construction). Tauri wrapper = thin wrapper over same UI, deferred
8	2026-07-24	host capture + orange-dot scrub (G2 closed)	G2	5	yes	scaena capture --host: screencapture -x + scrub_orange_dot; live host PNG produced; unit test scrubs orange in strip only. G2 fully closed
9	2026-07-24	token import (Theme.kt / CSS)	v0.6	5	yes	scaena tokens parses real Spocken Theme.kt -> Amber #EBA948, Ink #0E0D10, etc; 14 unit tests (kotlin ARGB-drop, css vars). Feeds mock-render + framing in brand colors
10	2026-07-24	MCP full toolset (10 tools)	G4+	5	yes	MCP now exposes devices/capture/seed/snapshot/restore/flow/capture_host/frame/export/tokens; verified via piped session; tokens tool -> 13 real Spocken tokens. Agents get the whole pipeline
11	2026-07-24	richer web GUI (frame toggle)	G6+	5	yes	scaena serve /api/capture?frame=1 returns framed (larger) PNG; browser UI has a frame checkbox. Browser GUI now does capture+frame
12	2026-07-24	flow verbs: tap/key/deeplink	G3+	5	yes	flow DSL gains tap/key/deeplink (input tap, keyevent, VIEW intent); parse tests + live flow with tap+key drove emulator and captured. More ways to reach any screen
13	2026-07-24	package: README + install.sh (release)	v1	5	yes	readme covers all real commands; install.sh builds release + symlinks scaena/scaena-mcp; verified installed `scaena version`+`scaena devices` run from the symlinked release binary
14	2026-07-24	contact sheet (montage)	v1	5	yes	scaena contact tiles N screenshots into one grid PNG; unit test dims (2 cols x 3 -> 230x430); live 3-shot sheet produced
